event_id,fatality_count,injury_count,country_name
1628,1,,Brazil
6322,0,0,India
8956,1,0,Japan
6642,0,0,New Zealand
1883,3,,China
8705,0,0,United States
2190,0,,Thailand
3055,0,,Canada
1162,2,,Philippines
4503,,,United States
5513,0,,United States
3410,0,,United States
1336,0,,Philippines
3998,0,,Nepal
4817,1,,Kenya
9167,0,0,Nepal
3385,,,Pakistan
2428,0,,Nepal
5606,0,,United Kingdom
5470,,,Nepal
7220,0,0,Mauritius
7106,0,0,Nepal
4273,0,,Peru
9421,0,0,New Zealand
1242,0,,Philippines
7826,0,0,United States
1367,0,,United States
2817,0,,United States
5500,0,,Malaysia
8586,0,0,United States
232,1,,Nepal
6366,0,0,United States
2751,3,,Sri Lanka
4803,,,Solomon Islands
7469,0,0,Mexico
7772,0,0,United States
2718,,,Thailand
4504,,,India
8664,0,0,United States
880,6,,China
8078,0,0,
4097,9,,Colombia
1449,0,,United States
9555,0,0,China
371,2,,Philippines
6507,0,0,United States
5577,0,,United States
6147,0,0,Canada
9549,0,0,United Kingdom
745,,,New Zealand
552,4,,Papua New Guinea
3155,0,,United States
7714,20,24,Yemen
8417,0,0,United States
1631,0,,Brazil
1923,4,,Guatemala
694,,,United States
6430,0,0,United States
5431,0,,India
988,0,,Indonesia
5833,0,0,United Kingdom
8437,0,0,United States
2963,0,,India
8615,0,0,United States
7528,0,0,United States
772,,,Ireland
2060,2,,Nepal
4236,0,,United States
6139,3,0,Nepal
3229,0,,United States
2199,0,,Trinidad and Tobago
6599,0,0,Indonesia
2966,0,,Australia
180,,,Uganda
3007,3,,Brazil
4997,0,,Nepal
3414,0,,United States
2066,0,,United States
3672,0,,India
2920,0,,United States
2416,0,,India
5295,0,,Philippines
8903,0,0,Panama
6918,0,0,United States
5372,,,Philippines
9136,,,Nigeria
3088,0,,Pakistan
7262,0,0,India
3408,0,,United States
5112,5,12,Turkey
5417,1,3,Philippines
2161,0,,India
3997,0,,India
1569,0,,United States
4451,,,China
8105,0,0,United States
3792,0,,Philippines
3151,0,,Bolivia
9527,0,0,Pakistan
7817,0,0,United States
2915,7,,Brazil
2253,0,,India
4684,,,United States
9119,5,0,Myanmar [Burma]
7792,0,0,United States
1888,0,,Taiwan
3764,0,,India
4668,,,United States
9139,2,2,Nepal
9114,0,0,United States
9262,0,0,United States
7641,0,0,Thailand
1657,0,,Brazil
310,,,United States
5324,,,Laos
8809,0,0,United States
668,,,China
5092,0,,Taiwan
7491,0,0,Costa Rica
2210,0,,India
1913,3,,Nepal
2464,0,,India
8758,0,0,United States
5202,4,,China
4280,0,,Philippines
4728,1,,Indonesia
8977,0,0,United States
7158,0,0,India
5099,0,,India
7088,0,0,United States
2582,0,,Philippines
6565,0,0,Nepal
4648,,,United States
1637,0,,Brazil
9331,0,0,United States
7732,0,0,Thailand
5915,0,0,United States
801,6,,Nepal
4417,,,Ireland
2305,0,,India
5380,0,,Taiwan
440,8,,Indonesia
994,0,,Peru
5872,0,0,United States
